Question,Answer
Do you think that they’ve reached a tentative deal right now? Does Lighthizer have something cooking pretty close? ," I think we’re close to a deal, yes."
"What about on the Mexico deal, was it aimed it China? You look at the Mexico deal, and there’s a lot of thing that  "," China’s  well it was aimed at China in the sense that we will be making a lot of money  we will be taking in a lot more money and jobs that China won’t be getting. So in that respect it was. But not only in China, it was aimed at many countries that, you know, were going in through Mexico and into a backdoor. They were coming in through a backdoor. So in that sense it was aimed at many countries that were taking advantage of the United States. The Mexico deal’s an incredible deal. If you want to keep your companies here  look, I grew up where companies were leaving. NAFTA was the worst deal  one of the worst deals ever made. OK? There were numerous of them. The Iran deal, which, by the way, has had a major impact on Iran. When I came into Iran  when I came into here, it was a question of when would they take over the Middle East. Now it’s a question of will they survive. It’s a big difference in one and a half years."
"Is your goal with China, as a lot of Chinese think, actually to prevent China from becoming the world’s No. 1 economy? "," No, but it’s  it’s  it’s a deal that will  again, the best thing that China and I have going  and  and the U.S. have going  is that President Xi and I have a really great relationship. OK? That being said, he represents China; I represent us. We were going in the wrong direction. The United States  look, since the World Trade Organization, which was probably, I called  I called NAFTA the second-worst trade deal ever made. I would say the WTO was the single worst trade deal ever made. And if they don’t shape up, I would withdraw from the WTO. We rarely won a lawsuit except for the last year. You know, in the last year, we’re starting to win a lot. You know why? Because they know if we don’t, I’m out of there. I’ll take them out. We’re starting to win lawsuits that we never  you know that. We never won lawsuits because the courts are stacked. You know they  it’s sad. We have a minority on the courts. So, the WTO was a horrible deal. NAFTA was a  they were all bad deals. You know, we made a deal with South Korea; nobody talks about it. We made a deal with South Korea We took the horrible deal that was made by Hillary Clinton where she said 200,000 jobs will be produced  and she was right  for South Korea. They were produced for South Korea, not for us. OK?"
"Would you  would you do a deal with Europe, who have come out this morning saying they would do cars  on autos, they would do zero tariffs with America. So, is that a good deal?... "," It’s not  it’s not good enough, no."
"Not good enough, why? "," No, no. Because they do a lot more auto business than we will ever do. In other words  well, first of all, it’s not just tariffs; they also have barriers up to our cars. They have athey’ll take the barriers down and they’ll charge us no tax, but it’s not good enough, because they will always sell more cars. Their cars  their habits, their consumer habits are to buying their cars  not to buying our cars."
But do you think you can outlast them as well? ," Absolutely, they’re dying to make a deal. Look, it’s all about the cars. And thedo you understand what I mean by that, Jennifer? It’s all about the cars. We can talk steeland I’ve rebuilt the steel industry in this country in six months. It’s rebuilt, it’swhen I say rebuilt, it’s really rebuilding fast. You call up the head of U.S. Steel, chief executive officer, what’s his name? Great guy. He’she’s opening up six or seven plants, he’s going to open up others, he’s spending billions of dollars. You call up Nucor  Nucor, call up the various steel companies. It’s likeit’s like nobody can believe what’s happening with this. So you guys haven’t covered it?"
People are losing their jobs though on the aluminum tariffs and things like that. Is thatdoes that worry you? ," I know, thethe aluminum business is doing much better. It wasit was a dead business. There’s soand I only charged 10 percent on that one because of that. It’s ayou know, it’sit was a little more delicate. Steel isand I’ll tell you what’s going to happen with steel, they were dumping like nobody’s ever seen dumping before. Historic dumping. And don’t believe 2 percent by China. It was trans-shipping. You know, everyone’s saying, well, China was only doing 2 percent. No, China was doing 50 percent. What they were doing is they were trans-shipping steel to other countries that didn’t even have steel plants and steel mills. They were sending them to countries that didn’t even deal in steel, and these countries are dumping here because China didn’t want people to know that they’re sending us 50 percent and more. So you understand what I mean by that, because every time I read an article it says, oh, but China only sends us 2 percent. I say give me a break, take a look at the countries where they’re coming from. Some countries don’t even do steel and they’re sending us 4 percent of the product. Sosobutbut I have to say, the steel industry isis one of my pride and joys. I’m going tonight to Indiana, and I don’t know if you saw the lines, the lines started forming today at 4 o’clock in the morning. They had 45,000 requests forfor 8,000 or 9,000 seats. Is anybody going? Are you going tonight? It’s going to be exciting."
You mentioned currency manipulation with China. Are you now prepared to call them a currency manipulator? You said you’re," Well, we’re doing all the studies. No, we’reit is a formula, and we arewe are looking very strongly at the formula. As you look, as you see what’s gone with the yuan, it’s gone, you know, it’sthey’re trying to make up for lack of business by cutting their currency. ?It’s no good. You can’t do that. That’s not, like, playing on a level playing field. And..."
"But with the  their currency going down is also a function of your one staying quite high. And do you think which is, as you say, partly linked to the Fed. Do you think the president should have the right to be able to approve or disapprove some of the Fed’s decisions? "," Well, look. I put a man in there who I like, who I respect. And in private life, I always liked  in private life, please put it that way.... In private life, I always liked a weak dollar and a low interest rate, OK? A strong dollar was only good if I wanted to buy Turnberry in Europe, in Scotland or if I wanted to buy Aberdeen or if I wanted to buy Doonbeg in Ireland. It was the only thing the strong dollar was good for. That was in my private life. And I did. I bought a lot of things when the dollar was very strong and the, you know, Ireland had crashed and Europe was crashing. I bought a lot of great stuff, including the great Turnberry, as you know, right?"
But you say you don’t think that policy should be... ," No, I  I’m  I’m not look, my businesses have been very strong. I’ve done very well. I understand it. I think I understand it better than the so-called economists, where you  mostly, it’s a flip a coin and pick. Is it heads or tails? They have no clue. But  but at the same time, I’m not sure that we should ever allow politicians to control very important things, you know, strong monetary policy, the things that the Fed right now controls. But China is being accommodated because they can do whatever they want, and the euro is being accommodated because they basically do whatever they want, and we are not being accommodated at all by the trade."
But you don’t regret picking Jay Powell? ," No, I don’t regret. I think somebody else would maybe  what I’m saying is that we are fighting horrible trade deals that were made by people that were either incompetent or didn’t care. And  and I should be  I should be allowed  and  and they  and those  those countries are being accommodated by their monetary policy. Our country is not."
Do you favor the idea of indexing capital gains? , I’m thinking about it. I’m thinking about it.
Are you leaning towards liking it? ," Well, no, I - I  I just  there are a lot of people that love it; there’s some people that don’t. But I’m thinking about it very strongly. I’m also thinking about going, as you know, to a  to a half-time instead of a quarter-time for reporting and guidance."
"Yeah, any closer on that, on making a decision? "," I’ve asked Jay Clayton to look at it very strongly. He’s looking at it. I like the concept, but I’ll  I’ll be relying  the only one that will be fighting us on that will be the accountants."
Do you imagine that you would make a decision before the midterms on indexing? ," I  I don’t want to say that, but it’s something that a lot of people like. How do you feel about that  indexing?"
"On Jeff Sessions, would it be fair to say that Jeff Sessions will be A.G. until at least the mid-terms? "," I wouldI would think so, yeah. I would think so."
Then how many days afterwards? ," Oh, I don’tI don’t even want to get into it. Look. I just want people to do their jobs. I have a great cabinet. I’m really happy with my cabinet. I’ve made some replacements. Mike Pompeo’s becoming a star. You look at my cabinet members, we have really great cabinet members. There are those that say this is the best cabinet ever assembled. We really have greatand you’ve heard that, Sarah, too. We hear it a lot. Weand we have great judges. I put on judges thatwhen I got here, I had 145 openings. Nobody’s ever had that before. And that was because something happened in the last three years of Obama where he didn’t put judges on. I think they forgot. I really do, I believe they forgot. And there’s nothing moreyou know, there’s probably nothing more importantother than war and peace, there’s probably nothing more important."
"But on the other half of that is, maybe Jeff Sessions might not necessarily be safe after the midterms? "," I don’t want to comment on it. Look, I just would love to have him do a great job. And I’d love to have him look at the other side. And I have purposelyand there’s no reason for me to do thisI could go andyou know, I meanI’m allowed to do. You look at Article I, you look at whatever you want to look at, I’m allowed to be very much involved. This is just a witch hunt. Butbut I will tell you that they should be looking at the other side. When you look at Ohrthis is the last, you knowOhr and his wife. And his wife is gettingNellieand his wife is getting paid by Fusion. And Fusion’s getting money from Russia and all this and nobody wants to look at that stuff, and you look at Strzok and his lover, Lisa Page, and you look at what went on there and the things that they were saying and the spying and the surveillance, and a hundred other things. You look at the lies of Comey, the horrible lies. You look at the lies of Brennan. Look at the lies he said. And why aren’t they looking at that side? So I do question, you know, what is Jeff doing? Nowand I just finish with this. I’ll say this. There was no collusion. I think almost everybody, even in your business, is saying there just is no collusion. There were no Russians. If there were, you would have known about it. There was collusion between the Democrats and the DNC and Russia. I do ask, why didn’t the FBI take the server from the DNC? And why didn’t they do it? They didn’t take it. I mean, what kind ofyou mean they wouldn’t give it, they wouldn’t give it to them, they would not give their server. I mean, Jennifer, you’ve figured that one out too a long time ago. And I do say, Arwan from Pakistan, he had three servers, all with congressional medalcongressional people. They just settled the case with him, they gave him nothing. And theyand they never got the servers."
"But if you getif you get subpoenaedif you get subpoenaed by Mueller, would youwould you comply with it? Or would you fight it? "," Well, I’ll see what happens."
"It doesn’t sound as if you’re going to goit doesn’t sound as if you’re going to go voluntarily. So, he wouldis it fair to say, he would have to subpoena? ", I view it as an illegal investigation. It should’ve never been…
So you wouldn’tyou wouldn’t go? ," …it should have beenno, I’m not saying anything. I’m just telling you this, you read any of the greatyou read the great scholars, the great legal  there should have never been a special counsel. It shouldn’t have been set up. Between all of the conflicts, and all of theall of the reasoning that turned out to be wrong, all of the corruption, all of the statements where Comey said in Congress that hehe did things, and he leaked, and he didto get a special counsel and various other things. So, I’d just like to have Jeff Sessions do his job and if he did, I’d be very happy. But the job entails two sides, not one side. Now, I have not purposely, and not from any legal standpoint because from a legal standpoint, I’m allowed to get totally involved. But I have, purposely, not gotten involved. But, you know, at some point I guess that could change."
"Mr. President, there’sthere’s been a lot of talk in Washington, this week, about your CFO from the Trump Organization, Mr. Weisselberg, accepting that immunity deal from prosecutors that delves into your financeyour company’s financial dealings. "," No, he’s 100 percent100 percent."
"The $130,000. Did youdid you know about that before the election? "," Well, I don’t want to get into it because it’s been covered so much. So, we won’t get into that. Let’s get into more important things. I can say this, there’s no campaign violation whatsoever. And if you watch all of the good legal pundits, you’ll see that. No campaign violation whatsoever. There is none. And most of them  other than fake news  admit that. There was no campaign violation."
"There are some in the legal community that say you could prove that if there was a pattern of Michael making payments over a long period of years, then  then it would be argued that it was "," Jennifer, there was no campaign violation  all of them. All I’m saying is this  every lawyer that everybody’s spoken to said there’s no campaign violation. So."
But you’ve spent quite a lot of time attacking them. Is that  do you  do you worry at all about American capitalism ... ," No, no, not at all, because this is  this is the engine for everybody. Without this country it doesn’t work. No, I don’t at all and I think they have to treat people fairly."
"So, it’s just  it’s a pure  it’s a pure thing to do, what they do on their media sides, rather than the business as a whole? ", Yeah.
"You think Google is a good business, you think ... "," Well, if  if you look  if you look, the conservatives have been treated very unfairly. I can tell you from my years, I  I think very few people  I guess, Dan, what do we have now total on the various ..."
Would you  could you  would you want to break up Google or break up Bezos? , I can’t  I won’t  I won’t comment on that. I can’t comment.
It’s something that’s crossed your mind? ," I just can’t comment. No, I don’t want to say that either. I just  I won’t comment on the breaking up of  whether it’s that or Amazon or  or Facebook."
Is Emmet Flood going to be the next White House counsel? , He’s a man I really like and respect. He’s doing a great job.
Is he the frontrunner? , I don’t want to say that. I don’t want to comment on that.
Are there more than one possibility right now? ," I don’t want to comment on it, but I have  I can tell you this, everybody wants the job. Everybody wants it but I  I just don’t want to comment on it."
"If America was attacked by  if there is a terrorism attack, which foreign leader would you call first? ", That’s an interesting  I guess it depends on where the attack took  took place 
Who do you trust and admire? ," I  I think I trust a lot of them. I  I have a great relationship. Sarah, you see it, you go with me. Dan, you see it. I have a great relationship with a lot of foreign leaders, I think a really great relationship with really a lot."
Angela Merkel? ," I think I would have a very good  I have a very good relationship with Angela Merkel. An excellent relationship. I just disagree. I don’t think she should be buying oil for Russia  from Russia. I don’t think that, you know, she should be paying 1 percent and we’re paying 4.3 percent for NATO. You know, I have a lot of disagreements with her."
Have you told her that she shouldn’t buy  she shouldn’t buy the oil? , I told her I think it’s ridiculous that you have a NATO to protect yourself from a certain country and then you’re paying a fortune to that certain country. I said what kind of a deal is that?
"But if you had one phone call, there’s a big terrorist attack in New York City and you’ve got to call a foreign leader, who would it be? "," I don’t want to say because I’ll be insulting a lot of other foreign leaders, honestly."
"If he doesn’t  if he doesn’t hand over the pastor, should you  should NATO  should  should Turkey be kicked out of NATO? ", We’re going to see what happens. I  I think...
Is there a chance you might meet Kim in  in New York for the UN General Assembly? ," I don’t know that he’s coming. I really don’t. But I have a good relationship with him, and it’s  it  Isn’t it nice to have a good relationship? And I was going to tell you before, I think I’d have a very good relationship with Putin, but the Russian rigged witch hunt gets  you know, gets in the way of that. It makes it very difficult. It’s a very bad thing for our country."
"If Kim decided to come to the UN in September, it  would you be ready to have that meeting, or does he need to show you a little more? ", I’m  I’m ready  I’m always ready for a meeting.
"Mr. President, as you know, of course John McCain’s remains are on  on  on their way back to Washington now. You had an opportunity to unite the country this week. I’m just wondering if you felt like you screwed it up? "," No, I don’t think I did at all. I  I’ve  I’ve done everything that they requested, and no, I don’t think I have at all. You know, we had our disagreements and they were very strong disagreements. I disagreed with many of the things that I assume he believed in. But with that being said, I respect his service to the country."
Would he  would McCain have been a better president than Obama? , I don’t want to comment on it. I have a very strong opinion on it.
What about Paul Ryan? Would Republicans in the House do better if Paul Ryan were to step down as speaker early? ," I’d  look, here’s  I like Paul Ryan. I actually get along very well with him. I’ve had a much better relationship with Paul Ryan than people understand. And I do like him. And that’s all going to work out. You know, that’s all going to work out."
How many are you going to win by? How many will Republicans win by? ," Well, I don’t want toI don’t want to predict because then if If I’m wrong, you’re going to say, “Oh, he’s devastated”you’re going to say, “He’s devastated that they didn’t win.” So I don’t want to do that, but I think we’re going to do well. Now I’m betting against history because if you look at history, like literally, over 150 years, for whatever reason, when you have the president, that party doesn’t do very well in the midterms. I don’t know why. The advantage we have isI am actually a very popular president, which people don’t like to say, you know. In fact, I guess the Republican poll came out, there’s one at 92 and one at 93 and one at 90, and they’re the highest numbers that have ever been, with the exception of a tiny period of time with a bullhorn. But that period lasted for about a week."
"But do you feel frustrated? Do you the economy, as you say, is growing, end of the longest bull market, all those things. ", Yes.
Do you feel annoyed about the polls? ," Yes, my personal polls are very good. When you look atbut the question is, will they transfer over to people getting out and voting? So if I were runningand you people know this better, that it seems like nobody comes close. I dream about the people that are running. I hope it’s that same group. I hope they don’t change the group. I like the group. They’re great now. You know, take your top 10. Butbut if I were running, people come out and vote. I saw today on Fox, they’re in Indiana, and the level ofof love is just a beautiful thing to watch, and I speak to people, and that’s around the country. They’re happy because the economy is so good. Their 401(k)s are through the roof, et cetera, et cetera. The question is whether or not it’s going to transfer. Now I’m going to work hard, and I’m going to be out campaigning for a lot of people."
"Montana’s going to be interesting, too? "," I’ll tell you one quick story than we’ll finish. So I’m watching television, and I see this young woman on television. I say, “Who’s that?” “Oh, she’s campaigning against Joe.” You know who Joe is, right? So Queens. Crowley. So I say “Ah, let me just watch her for a second”wonderful thing, TiVo. So you go back“huh, tell him he’s going to lose.” Now, I don’t agree with her views, her views are terrible, but that’s Cortez. To just putto use one term. I had a similar thing in Michigan. I was watching an event and I see a man campaigning, a good looking African-American man who is making a beautiful speech, talking about his military service, his leadership, his flying the Apache helicopters. I said “Stop that for a second, go back, I want to see that.” I watched him, I said “He’s a potential star.” And as you know, he was down and I endorsed himspoke to him, I endorsed him and he’s doing really well against an opponent that wasn’t really on the list of potentials, right? And I think John James is going to be very interesting, I think. Watch him."
What about Cuomo and Cynthia Nixon? Who wins out of those two? , Cuomo’s going to win.
But do you think it would hurt your re-election bid or do you think it would help your re-election bid? ," I don’t know, I have no opinion on it. I just don’t think they can do it iflook, I’m doing a great job. You look at the economy, you look at jobs, you look at foreignwhat’s going on with other countries, you look at trade deals. I’m doing a great job. I don’t think thatbecause if they could do that, here’s what would happen: you get elected president and your House is the opposite party, and every time you get elected president, they’re going to impeach the person. That can’t work. In other words, because of the division that you have now thatthat you knowthat you’ve had. Here’s somebodyis this the most divisive you’ve seen it? No, Clinton was worse. I said what about Obama? No, Obama wasn’t as bad as Clinton. And I’m saying to myself, you know, it’s sort of interesting but they say there were years in the Clinton years that were far worse than this. And it’s very interesting. You know we think of this, then of course they can also go back and say how about the Civil War. That was pretty bad too."
Can you get out of Afghanistan? ," But  but I just  I do want to say this  I do want to say this and that will be the last but what that would mean, I’m doing a great job. And fair people would say you look at foreign relations, you look at what’s going on, you look at so many  look at  look at labor. I mean labor loves me. I won the labor vote. You look at those people in line today …"
Don’t forget your wall though. ," Oh no, the wall’s happening. By the way, I’ve already started the wall."
Do you have some creative ideas for paying for it? ," I have a lot of creative ideas for the wall. But just so you understand, I got $1.6 billion in spent. We have another $1.6 billion now. We’re building. We’re building actually 80 miles of the wall right now. The wall is already started. You know the  as you know it’s in San Diego. It’s almost complete all up San Diego in a very bad stretch and we’re building the wall in the bad stretches. You know the stretches. But just so you understand, so you get elected as a Republican or a Democrat and the opposite party gets put into the House. That would mean, oh, let’s impeach him. Can’t do it. If you look at the definition of impeachment that’s a  that’s a high bar and that would take a long time to fight that if you’re doing a good job. And I’m doing a great job. Somebody said what do you grade yourself? I said an A+. Other than that, enjoy yourselves. OK."
"Thank you, sir. ", Take care of yourselves. Thank you very much.
"There are a number of stories out there that you’re angry about the mid-terms, about your treatment in the media, about the way you were treated when you were in Paris. One story even said that you were in a “cocoon of bitterness and resentment.” ", Right.
We’ll get in to all the details later but how dark is your mood? ," It’s very light, it’s fake news, it’s disgusting fake news. I read a front page story in the Washington Post, they never even called me, nobody ever calls me. You know, they hearI don’t even think they have sources I think they just make it up like it’s fiction. And I will tell you I’m extremely upbeat, the White House is running like a well-oiled machine, it’s doing really well, I have great people. I will make some changes but not very many. I’m very happy with my cabinet, other than, you know a couple of exceptions and even there I’m not unhappy. And I will tell you that it’s so wrong, the reporting about me is so wrong. I’m loving what I’m doing, I did well in France, I did have a problem where I wasn’t able to go to a cemetery because the Secret Service would not let me do it. "
Are you comfortable with the way that went down where it kind of looked like your wife was firing one of your advisors?," Well I didn’t know the advisor well, really, and I know they had a lot of problem. My wife did a great job in Africa and she was not treated properly by the press, she really worked so hard. They came to me. They wanted to go a little bit public because that’s the way they felt and I thought it was fine. I met with Mira two days ago and we’re going to move her around. She was with me for a long time, although I don’t know her. She’s really somebody I don’t know very well. But we’re going to move her around because she’s got certain talents. But, frankly, she is not  she’ll never be put in the United Nations, let me put it that way."
Meaning she’s not too diplomatic?," She’s not too diplomatic, but she’s talented."
Are you happy with Kirstjen Nielsen at DHS?," Well, I like her a lot. I respect her a lot. She’s very smart. I want her to get much tougher and we’ll see what happens there. But I want to be extremely tough. "
What are the chances she’ll be DHS Secretary ," Well there’s a chance. But there’s a chance everybody  I mean that’s what happens in government you leave, you make a name, you go. The people that have left have done very well. The people that have left have done very well  from my White House. I like her very much, I respect her very much, I’d like her to be much tougher on the border  much tougher, period."
So 2020 is no longer written in stone?," It could happen. Yeah, it could  I mean it could be. But let’s see what happens. I have not  look, I have three or four or five positions that I’m thinking about. Of that, maybe it’s going to end up being two. Maybe, but I want to I need flexibility."
"Did you know, before you appointed him, that he had that record and was so critical of Robert Mueller?", I did not know that. I did not know he took views on the Mueller investigation as such.
And when you found that out?," I don’t think it had any effect. If you look at those statements those statements that can  they really can be viewed either way, but I don’t think it will have any impact "
"He is going to have to make or could potentially make a lot of big calls in the Mueller investigation. If Mueller decides that he wants to subpoena you, the Attorney General Whitaker can block that. If Mueller issues a final report, he can decide how much goes to Congress or doesn’t go to Congress. You tweeted this week about, quote, “Bob Mueller and his gang of Democrat thugs.”", Right.
"If Whitaker decides in any way to limit or curtail the Mueller investigation, are you OK with that?", Look he  it’s going to be up to him. I think he’s very well aware politically. I think he’s astute politically. He’s a very smart person. A very respected person. He’s going to do what’s right. I really believe he’s going to do what’s right. 
Your team is preparing written answers to questions about ," No, no, no, not my team. I’m preparing written answers. My  I  I’m the one that does the answering. Yes, are they writing them out? "
Are they going to be submitted? ," At some point very soon, yes. I’ve completed them. "
"Is that your final position, that there’s going to be no sit-down interview and nothing written or in person on obstruction? "," I would say probably. Probably. I mean, I can change my mind, but probably. I think we’ve "
No interview? ," I think we’ve wasted enough time on this witch hunt and the answer is probably, we’re finished. "
What are the odds? One in a hundred? What What? ," I don’t do odds, I gave very detailed "
You ran a casino sir. ," You’re right, and very successfully actually. We gave very, very complete answers to a lot of questions that I shouldn’t have even been asked and I think that should solve the problem, I hope it solves the problem, if it doesn’t, you know, I’ll be told and we’ll make a decision at that time. But probably this is the end. "
"Have you one, either heard the tape yourself or been briefed on it and if so, to your mind what does it show? "," We have the tape, I don’t want to hear the tape, no reason for me to hear the tape. "
Why don’t you want to hear it sir? ," Because it’s a suffering tape, it’s a terrible tape. I’ve been fully briefed on it, there’s no reason for me to hear it, in fact I said to the people should I? They said: “you really shouldn’t, there’s no reason.” I know exactlyI know everything that went on in the tape without having to hear it. "
And what happened? ," It was very violent, very vicious and terrible. "
"Question, did MBS lie to your sir? "," I don’tI don’t know, you know who could really know but I can say this he’s got many people now that say he had no knowledge. "
But what if he’s lying? , As recently as a few days ago. 
Do you just live with it because you need him? ," Well, will anybody really know? All right, will anybody really know? But he did have certainly people that were reasonably close to him and close to him that were probably involved. You saw we put on very heavy sanctions, massive sanctions on a large group of people from Saudi Arabia. But at the same time we do have an ally and I want to stick with an ally that in many ways has been very good. "
"So, if Congress were to move to either try to cut off any U.S. involvement in the war in Yemen or to block any arms sales you won’t go along with it? "," Well I want to see Yemen end but it takes two to tango. Iran has to end it also. And Iran is a different country than it was when I took over, it’s far weakened because of what I did with the Iran  so-called Iran deal, Iran nuclear deal, which was one of the great rip-offs of of all time. But I want Saudi to stop but I want Iran to stop also. "
"When Democrats flipped the House back in 2006 and picked up 30 seats, President Bush 43 had a news conference the next day and said, “We had a thumping.” Last week, in this election, the House picked up, so far it’s 36 seats, it may be on the way to 40 seats and your reaction was that it was almost a complete victory. "," I won the Senate, you don’t mention that. "
"But this was a  this was a historically big defeat in the House. You lost 36, maybe 40 seats. Some would argue that it was a thumping. And I want to talk about some of the ways in which you lost. You lost in traditionally Republican suburbs, not only around liberal cities like Philadelphia and D.C. but also red-state big cities like Houston and Oklahoma City. You lost among suburban women. You lost among independents and, in three key states that I think you remember pretty well  Wisconsin, Pennsylvania, Michigan  you lost both the governor seats and the senate seats. "," Are you ready? I won the Senate, and that’s historic too, because if you look at presidents in the White House it’s almost never happened where you won a seat. We won  we now have 53 as opposed to 51 and we have 53 great Senators in the U.S. Senate. We won. That’s a tremendous victory. Nobody talks about that. That’s a far greater victory than it is for the other side. Number two, I wasn’t on the ballot. I wasn’t "
"But if you can’t carry  and you certainly didn’t carry it two weeks ago  Michigan, Wisconsin, and Pennsylvania  you’re not going to get reelected. "," I didn’t run. I wasn’t running. My name wasn’t on the ballot. There are many people that think, “I don’t like Congress,” that like me a lot. I get it all the time; “Sir, we’ll never vote unless you’re on the ballot.” I get it all the time. People are saying, “Sir, I will never vote unless you’re on the ballot. I say, “No, no, go and vote.” “Well, what do you mean?” As much as I try and convince people to go vote, I’m not on the ballot."
"A federal judge who you appointed has just ruled that you must give CNN reporter Jim Acosta his press pass back. Your reaction to the ruling, sir.",
What are your rules going to be? What what is it that you’re saying this is over the line and you lose your press pass  ," Yeah, they’re doing them now. I mean, we’ll have rules of decorum, you know, you can’t keep asking questions, you havewe had a lot of reporters in that room, many, many reporters in that room and they were unable to ask questions because this guy gets up and starts, you know, doing what he’s supposed to be doing for him and for CNN and, you know, just shouting out questions. But but I will say this, look, nobody believes in the First Amendment more than I do and if I think somebody’s acting out of sorts, I will leave, I’ll say thank you very much everybody, I appreciate you coming and I will leave. And those reporters will not be too friendly to whoever it is that’s acting up."
"Why did you call on Acosta in the first place? I mean, it seems to me there’s a simple solution here, just don’t call on him. "," Actually I like to do it, but in many cases I don’t. He’ll stand up, he’s unbelievably rude to Sarah Huckabee, who’s a wonderful woman, unbelievably rude and I see that and I actually ask her the same. Why do you call on these people that are so nasty? I think one of the things we’ll do is maybe turn the camera off that faces them because then they don’t have any air time, although I’ll probably be sued for that and maybe, you know, win or lose it, who knows. I mean, with with this stuff you never know what’s going to happen. "
"Let’s get to the bigger issue. In 2017, last year, you tweeted this, and I want to quote it accurately, “The fake news media is not my enemy, it is the enemy of the American people.” "," That’s true, 100 percent. Not the media."
"But there have been people who have been critical of other presidents, they’re they’re  no president has liked his press coverage. John Kennedy, in your Oval Office, canceled the subscription to the New York Herald-Tribune. Nobody called it the enemy of the American people. "," Chris, I’m calling the fake news is the enemy  it’s fake, it’s phony. "
"But a lot of times, sir, it’s just news you don’t like"," No it’s not, no. No. I don’t mind getting bad news if I’m wrong. If I do something wronglike, for instance, the cemetery. I was not allowed to go because of the Secret Service. Because they expected to take a helicopter –"
"But, sir leaders in authoritarian countries like Russia, China, Venezuela, now repress the media using your words. "," I can’t talk for other people, I can only talk for me. I will tell you "
"But you’re  but you’re seen around the world as a beacon for repression, not for  "," The news  Chris  Chris, I’m not talking about you, but you sometimes maybe. But I’m not talking about you. The news about me is largely phony. It’s false. Even sometimes they’ll say, uh, “Sources say.” There is no source, in many casesin many cases there is "
You’re not even going to give them credit for taking down Bin Laden? ," They took him down butlook, look, there’s news right there, he lived in Pakistan, we’re supporting Pakistan, we’re giving them $1.3 billion a year, which we don’t give them anymore, by the way, I ended it because they don’t do anything for us, they don’t do a damn thing for us. "
But but the President [doesn’t] get to decide what’s fair and what’s not. , I can tell what’s fair and not and so can my people and so can a lot of other people.
Barack Obama whined about Fox News all the time but he never said we were the enemy of the people. ," Well, no, he didn’t talk about the news, he didn’t talk about anything, I’m only saying it very differently than anyone’s ever said it before, I’m saying fake news, false reporting, dishonest reporting, of which there is a lot, and I know it. See, I know it because I’m a subject of it. A lot of people don’t know it. But when I explain it to them, they understand it. And, Chris, you know that better, you don’t have to sit here and act like a perfect little, wonderful, innocent angel, I know you too well, I knew your father too well, that’s not your gene. But let me tell you "
IlookI think, Fake news 
"I think some of the coverage of you, sirand I’ve said it on the recordis bias, but I don’t think that there is"," Most of it is bias, most of it is bias."
"I don’t know, but the idea that you call us the enemy of the people. ", I’m not calling you that.
"It doesn’t matter whether you call, but when you call CNN and the New York Times andwe, we’re in solidarity, sir. "," I am calling fake news, fake reporting, is what’s tearing this country apart because people know, people like things that are happening and they’re not hearing about it. "
"Where do you rank yourself in the pantheon of great Presidents? There’s Lincoln and Washington, there’s FDR and Reagan, do you make the top 10? ", I think I’m doing a great job. We have the best economy we’ve ever had.
So where do you rank yourself? ," We’re doing really well. We would have been at war with North Korea if, let’s say, that administration continued forward. I would give myself, I wouldlook, I hate to do it, but I will do it, I would give myself an A+, is that enough? Can I go higher than that?"
"Can you envision a situation, you talk about six more years. Can you envision a situation well into your second term where you think that you’re so good for the country and so essential for the progress of the country that you would try to amend the Constitution so you could serve a third term? "," No, no."
"But here’s the question, you’re back in Washington on Monday, Veterans Day, why don’t you go across the river to Arlington for that ceremony? Barack Obama went every year he was here in D.C. "," I should have done that. I was extremely busy on calls for the country, we did a lot of calling, as you know –"
Why haven’t you visited our troops serving in war zones in Iraq and Afghanistan in the two years you’ve been in office as Commander-in-Chief? ," Well, I think you will see that happen. There are things that are being planned. We don’t want to talk about it because of  obviously because of security reasons and everything else."
"Just before the midterms you said your biggest regret is that perhaps you should have had a softer tone in your two years as president. But since then, some could argue, you’ve been on a tear. ",
Do you want him to rein in Robert Mueller? , “What a stupid question that is. What a stupid question. But I watch you a lot. You ask a lot of stupid questions.”]
"Question. I was in Saint Joe’s, Missouri this last week and I was talking to a lot of loyal Republicans. They love what you’ve done to the economy. They love the fact that you have basically put ISIS out of business. The one thing they say is, why do you have to be so divisive? Why don’t you do more to bring the country together? "," I think that if I was very different I wouldn’t have gotten what we had to get. We got the biggest tax cuts in history, we got ANWR approved, we have  we got rid of the individual mandate, which was the most unpopular thing you can imagine  health care  I got rid of it, everybody said it would be impossible to get rid of it. And many many  you know, the regulations. I think if I was a more modified, more moderate, in that sense, I don’t think I would have done half of the things that I was able to get completed. With that being said, other than you have to have a certain ability to fight back and, as you know, people have  you know, they take strong stands on me both ways, you know, love and hate. I’d like to see it a little bit, maybe, more right down the middle. But tone is something that is important to me. But a lot of times you can’t practice tone because you have people coming at you so hard that if you don’t fight back in a somewhat vigorous way you’re not going to win. And we have to win. This country has to win. We have a lot of victories coming and I think if I  if I go too low-key we’re not going to have those victories."
"So have you gotten comfortable with the place yet, sir? "," I have, I feel very comfortable. It took me a little while. You know, it’s sort of incredible. You say you’re the President of the United States, and I say, wow, and it takes a little while to get over that. "
